areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2021-01-27,35513
overview,United Kingdom,K02000001,2021-01-26,37101
overview,United Kingdom,K02000001,2021-01-25,37756
overview,United Kingdom,K02000001,2021-01-24,37730
overview,United Kingdom,K02000001,2021-01-23,37398
overview,United Kingdom,K02000001,2021-01-22,38257
overview,United Kingdom,K02000001,2021-01-21,38059
overview,United Kingdom,K02000001,2021-01-20,38739
overview,United Kingdom,K02000001,2021-01-19,38846
overview,United Kingdom,K02000001,2021-01-18,39254
overview,United Kingdom,K02000001,2021-01-17,38169
overview,United Kingdom,K02000001,2021-01-16,37715
overview,United Kingdom,K02000001,2021-01-15,38132
overview,United Kingdom,K02000001,2021-01-14,37691
overview,United Kingdom,K02000001,2021-01-13,37487
overview,United Kingdom,K02000001,2021-01-12,36981
overview,United Kingdom,K02000001,2021-01-11,36751
overview,United Kingdom,K02000001,2021-01-10,35391
overview,United Kingdom,K02000001,2021-01-09,34032
overview,United Kingdom,K02000001,2021-01-08,33778
overview,United Kingdom,K02000001,2021-01-07,32583
overview,United Kingdom,K02000001,2021-01-06,31946
overview,United Kingdom,K02000001,2021-01-05,30686
overview,United Kingdom,K02000001,2021-01-04,30775
overview,United Kingdom,K02000001,2021-01-03,29033
overview,United Kingdom,K02000001,2021-01-02,27561
overview,United Kingdom,K02000001,2021-01-01,26389
overview,United Kingdom,K02000001,2020-12-31,26578
overview,United Kingdom,K02000001,2020-12-30,26551
overview,United Kingdom,K02000001,2020-12-29,25549
overview,United Kingdom,K02000001,2020-12-28,24049
overview,United Kingdom,K02000001,2020-12-27,22764
overview,United Kingdom,K02000001,2020-12-26,21730
overview,United Kingdom,K02000001,2020-12-25,20918
overview,United Kingdom,K02000001,2020-12-24,21577
overview,United Kingdom,K02000001,2020-12-23,21222
overview,United Kingdom,K02000001,2020-12-22,21488
overview,United Kingdom,K02000001,2020-12-21,21133
overview,United Kingdom,K02000001,2020-12-20,20004
overview,United Kingdom,K02000001,2020-12-19,19463
overview,United Kingdom,K02000001,2020-12-18,19117
overview,United Kingdom,K02000001,2020-12-17,18970
overview,United Kingdom,K02000001,2020-12-16,18671
overview,United Kingdom,K02000001,2020-12-15,18216
overview,United Kingdom,K02000001,2020-12-14,18246
overview,United Kingdom,K02000001,2020-12-13,17538
overview,United Kingdom,K02000001,2020-12-12,16909
overview,United Kingdom,K02000001,2020-12-11,16885
overview,United Kingdom,K02000001,2020-12-10,16723
overview,United Kingdom,K02000001,2020-12-09,16331
overview,United Kingdom,K02000001,2020-12-08,16477
overview,United Kingdom,K02000001,2020-12-07,16415
overview,United Kingdom,K02000001,2020-12-06,15960
overview,United Kingdom,K02000001,2020-12-05,15688
overview,United Kingdom,K02000001,2020-12-04,15727
overview,United Kingdom,K02000001,2020-12-03,15658
overview,United Kingdom,K02000001,2020-12-02,15977
overview,United Kingdom,K02000001,2020-12-01,16312
overview,United Kingdom,K02000001,2020-11-30,16565
overview,United Kingdom,K02000001,2020-11-29,16313
overview,United Kingdom,K02000001,2020-11-28,15985
overview,United Kingdom,K02000001,2020-11-27,16571
overview,United Kingdom,K02000001,2020-11-26,16762
overview,United Kingdom,K02000001,2020-11-25,17132
overview,United Kingdom,K02000001,2020-11-24,17424
overview,United Kingdom,K02000001,2020-11-23,17680
overview,United Kingdom,K02000001,2020-11-22,17264
overview,United Kingdom,K02000001,2020-11-21,17063
overview,United Kingdom,K02000001,2020-11-20,17184
overview,United Kingdom,K02000001,2020-11-19,17459
overview,United Kingdom,K02000001,2020-11-18,17486
overview,United Kingdom,K02000001,2020-11-17,17439
overview,United Kingdom,K02000001,2020-11-16,17313
overview,United Kingdom,K02000001,2020-11-15,16864
overview,United Kingdom,K02000001,2020-11-14,16299
overview,United Kingdom,K02000001,2020-11-13,16236
overview,United Kingdom,K02000001,2020-11-12,15879
overview,United Kingdom,K02000001,2020-11-11,15666
overview,United Kingdom,K02000001,2020-11-10,14964
overview,United Kingdom,K02000001,2020-11-09,15141
overview,United Kingdom,K02000001,2020-11-08,14546
overview,United Kingdom,K02000001,2020-11-07,14314
overview,United Kingdom,K02000001,2020-11-06,13958
overview,United Kingdom,K02000001,2020-11-05,13796
overview,United Kingdom,K02000001,2020-11-04,13817
overview,United Kingdom,K02000001,2020-11-03,13749
overview,United Kingdom,K02000001,2020-11-02,13105
overview,United Kingdom,K02000001,2020-11-01,12230
overview,United Kingdom,K02000001,2020-10-31,12310
overview,United Kingdom,K02000001,2020-10-30,11788
overview,United Kingdom,K02000001,2020-10-29,11583
overview,United Kingdom,K02000001,2020-10-28,11434
overview,United Kingdom,K02000001,2020-10-27,10938
overview,United Kingdom,K02000001,2020-10-26,10108
overview,United Kingdom,K02000001,2020-10-25,9786
overview,United Kingdom,K02000001,2020-10-24,9262
overview,United Kingdom,K02000001,2020-10-23,8886
overview,United Kingdom,K02000001,2020-10-22,8311
overview,United Kingdom,K02000001,2020-10-21,8132
overview,United Kingdom,K02000001,2020-10-20,7852
overview,United Kingdom,K02000001,2020-10-19,7334
overview,United Kingdom,K02000001,2020-10-18,6829
overview,United Kingdom,K02000001,2020-10-17,6545
overview,United Kingdom,K02000001,2020-10-16,6296
overview,United Kingdom,K02000001,2020-10-15,5933
overview,United Kingdom,K02000001,2020-10-14,5598
overview,United Kingdom,K02000001,2020-10-13,5293
overview,United Kingdom,K02000001,2020-10-12,4959
overview,United Kingdom,K02000001,2020-10-11,4670
overview,United Kingdom,K02000001,2020-10-10,4358
overview,United Kingdom,K02000001,2020-10-09,4170
overview,United Kingdom,K02000001,2020-10-08,4085
overview,United Kingdom,K02000001,2020-10-07,3893
overview,United Kingdom,K02000001,2020-10-06,3642
overview,United Kingdom,K02000001,2020-10-05,3370
overview,United Kingdom,K02000001,2020-10-04,3056
overview,United Kingdom,K02000001,2020-10-03,2867
overview,United Kingdom,K02000001,2020-10-02,2723
overview,United Kingdom,K02000001,2020-10-01,2592
overview,United Kingdom,K02000001,2020-09-30,2530
overview,United Kingdom,K02000001,2020-09-29,2420
overview,United Kingdom,K02000001,2020-09-28,2399
overview,United Kingdom,K02000001,2020-09-27,2188
overview,United Kingdom,K02000001,2020-09-26,2033
overview,United Kingdom,K02000001,2020-09-25,2020
overview,United Kingdom,K02000001,2020-09-24,1846
overview,United Kingdom,K02000001,2020-09-23,1730
overview,United Kingdom,K02000001,2020-09-22,1636
overview,United Kingdom,K02000001,2020-09-21,1558
overview,United Kingdom,K02000001,2020-09-20,1398
overview,United Kingdom,K02000001,2020-09-19,1300
overview,United Kingdom,K02000001,2020-09-18,1221
overview,United Kingdom,K02000001,2020-09-17,1162
overview,United Kingdom,K02000001,2020-09-16,1106
overview,United Kingdom,K02000001,2020-09-15,1066
overview,United Kingdom,K02000001,2020-09-14,982
overview,United Kingdom,K02000001,2020-09-13,843
overview,United Kingdom,K02000001,2020-09-12,812
overview,United Kingdom,K02000001,2020-09-11,770
overview,United Kingdom,K02000001,2020-09-10,944
overview,United Kingdom,K02000001,2020-09-09,924
overview,United Kingdom,K02000001,2020-09-08,894
overview,United Kingdom,K02000001,2020-09-07,902
overview,United Kingdom,K02000001,2020-09-06,817
overview,United Kingdom,K02000001,2020-09-05,812
overview,United Kingdom,K02000001,2020-09-04,818
overview,United Kingdom,K02000001,2020-09-03,817
overview,United Kingdom,K02000001,2020-09-02,803
overview,United Kingdom,K02000001,2020-09-01,861
overview,United Kingdom,K02000001,2020-08-31,854
overview,United Kingdom,K02000001,2020-08-30,831
overview,United Kingdom,K02000001,2020-08-29,833
overview,United Kingdom,K02000001,2020-08-28,818
overview,United Kingdom,K02000001,2020-08-27,840
overview,United Kingdom,K02000001,2020-08-26,829
overview,United Kingdom,K02000001,2020-08-25,844
overview,United Kingdom,K02000001,2020-08-24,876
overview,United Kingdom,K02000001,2020-08-23,870
overview,United Kingdom,K02000001,2020-08-22,943
overview,United Kingdom,K02000001,2020-08-21,888
overview,United Kingdom,K02000001,2020-08-20,909
overview,United Kingdom,K02000001,2020-08-19,924
overview,United Kingdom,K02000001,2020-08-18,953
overview,United Kingdom,K02000001,2020-08-17,982
overview,United Kingdom,K02000001,2020-08-16,979
overview,United Kingdom,K02000001,2020-08-15,974
overview,United Kingdom,K02000001,2020-08-14,995
overview,United Kingdom,K02000001,2020-08-13,1008
overview,United Kingdom,K02000001,2020-08-12,1004
overview,United Kingdom,K02000001,2020-08-11,1039
overview,United Kingdom,K02000001,2020-08-10,1087
overview,United Kingdom,K02000001,2020-08-09,983
overview,United Kingdom,K02000001,2020-08-08,1027
overview,United Kingdom,K02000001,2020-08-07,1094
overview,United Kingdom,K02000001,2020-08-06,1155
overview,United Kingdom,K02000001,2020-08-05,1200
overview,United Kingdom,K02000001,2020-08-04,1216
overview,United Kingdom,K02000001,2020-08-03,1251
overview,United Kingdom,K02000001,2020-08-02,1254
overview,United Kingdom,K02000001,2020-08-01,1290
overview,United Kingdom,K02000001,2020-07-31,1266
overview,United Kingdom,K02000001,2020-07-30,1314
overview,United Kingdom,K02000001,2020-07-29,1350
overview,United Kingdom,K02000001,2020-07-28,1369
overview,United Kingdom,K02000001,2020-07-27,1370
overview,United Kingdom,K02000001,2020-07-26,1383
overview,United Kingdom,K02000001,2020-07-25,1401
overview,United Kingdom,K02000001,2020-07-24,1453
overview,United Kingdom,K02000001,2020-07-23,1538
overview,United Kingdom,K02000001,2020-07-22,1747
overview,United Kingdom,K02000001,2020-07-21,1634
overview,United Kingdom,K02000001,2020-07-20,1734
overview,United Kingdom,K02000001,2020-07-19,1742
overview,United Kingdom,K02000001,2020-07-18,1776
overview,United Kingdom,K02000001,2020-07-17,1804
overview,United Kingdom,K02000001,2020-07-16,1829
overview,United Kingdom,K02000001,2020-07-15,1974
overview,United Kingdom,K02000001,2020-07-14,1993
overview,United Kingdom,K02000001,2020-07-13,2113
overview,United Kingdom,K02000001,2020-07-12,2101
overview,United Kingdom,K02000001,2020-07-11,2119
overview,United Kingdom,K02000001,2020-07-10,2244
overview,United Kingdom,K02000001,2020-07-09,2345
overview,United Kingdom,K02000001,2020-07-08,2454
overview,United Kingdom,K02000001,2020-07-07,2598
overview,United Kingdom,K02000001,2020-07-06,2699
overview,United Kingdom,K02000001,2020-07-05,2741
overview,United Kingdom,K02000001,2020-07-04,2802
overview,United Kingdom,K02000001,2020-07-03,2942
overview,United Kingdom,K02000001,2020-07-02,3079
overview,United Kingdom,K02000001,2020-07-01,3198
overview,United Kingdom,K02000001,2020-06-30,3383
overview,United Kingdom,K02000001,2020-06-29,3748
overview,United Kingdom,K02000001,2020-06-28,3557
overview,United Kingdom,K02000001,2020-06-27,3544
overview,United Kingdom,K02000001,2020-06-26,3620
overview,United Kingdom,K02000001,2020-06-25,3850
overview,United Kingdom,K02000001,2020-06-24,4030
overview,United Kingdom,K02000001,2020-06-23,4134
overview,United Kingdom,K02000001,2020-06-22,4281
overview,United Kingdom,K02000001,2020-06-21,4222
overview,United Kingdom,K02000001,2020-06-20,4252
overview,United Kingdom,K02000001,2020-06-19,4414
overview,United Kingdom,K02000001,2020-06-18,4560
overview,United Kingdom,K02000001,2020-06-17,4719
overview,United Kingdom,K02000001,2020-06-16,4863
overview,United Kingdom,K02000001,2020-06-15,4870
overview,United Kingdom,K02000001,2020-06-14,4908
overview,United Kingdom,K02000001,2020-06-13,4941
overview,United Kingdom,K02000001,2020-06-12,5090
overview,United Kingdom,K02000001,2020-06-11,5179
overview,United Kingdom,K02000001,2020-06-10,5475
overview,United Kingdom,K02000001,2020-06-09,5736
overview,United Kingdom,K02000001,2020-06-08,5931
overview,United Kingdom,K02000001,2020-06-07,5944
overview,United Kingdom,K02000001,2020-06-06,6149
overview,United Kingdom,K02000001,2020-06-05,6379
overview,United Kingdom,K02000001,2020-06-04,6580
overview,United Kingdom,K02000001,2020-06-03,6815
overview,United Kingdom,K02000001,2020-06-02,7087
overview,United Kingdom,K02000001,2020-06-01,7248
overview,United Kingdom,K02000001,2020-05-31,7238
overview,United Kingdom,K02000001,2020-05-30,7268
overview,United Kingdom,K02000001,2020-05-29,7586
overview,United Kingdom,K02000001,2020-05-28,7907
overview,United Kingdom,K02000001,2020-05-27,8220
overview,United Kingdom,K02000001,2020-05-26,8732
overview,United Kingdom,K02000001,2020-05-25,8836
overview,United Kingdom,K02000001,2020-05-24,8814
overview,United Kingdom,K02000001,2020-05-23,8814
overview,United Kingdom,K02000001,2020-05-22,9184
overview,United Kingdom,K02000001,2020-05-21,9293
overview,United Kingdom,K02000001,2020-05-20,9563
overview,United Kingdom,K02000001,2020-05-19,10013
overview,United Kingdom,K02000001,2020-05-18,10231
overview,United Kingdom,K02000001,2020-05-17,10199
overview,United Kingdom,K02000001,2020-05-16,10238
overview,United Kingdom,K02000001,2020-05-15,10691
overview,United Kingdom,K02000001,2020-05-14,10921
overview,United Kingdom,K02000001,2020-05-13,11342
overview,United Kingdom,K02000001,2020-05-12,11591
overview,United Kingdom,K02000001,2020-05-11,11967
overview,United Kingdom,K02000001,2020-05-10,11727
overview,United Kingdom,K02000001,2020-05-09,12015
overview,United Kingdom,K02000001,2020-05-08,12053
overview,United Kingdom,K02000001,2020-05-07,12626
overview,United Kingdom,K02000001,2020-05-06,13148
